# MEAN_SAMPLE_SIZE = 350000
# TOTAL_GENES = 14757
# CONDITIONED_COVAR = Average
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, inverse_mac, log_inverse_mac
COVAR                      OBS_GENES       BETA   BETA_STD         SE            P
Chrna6_Dscaml1                 14757     0.0115     0.0355     0.0138      0.20284
Chrna6_Pax7                    14757    0.00742      0.023     0.0144      0.30301
Chrna6_Plac9a                  14757   -0.00524    -0.0165     0.0136      0.65004
Dlx5_Cbln2                     14757    -0.0125    -0.0385     0.0148       0.8014
Gad2_Pvalb                     14757    -0.0111    -0.0343      0.012      0.82314
Gad2_Rspo2                     14757   0.000164   0.000531     0.0105      0.49376
Gad2_Shox2                     14757   -0.00526    -0.0162     0.0165      0.62491
Gad2_Spata20                   14757   -0.00564     -0.018      0.013      0.66768
Micro_Ctss                     14757    0.00614     0.0136     0.0058      0.14477
Olig1_Opalin                   14757   -0.00171   -0.00435    0.00666      0.60132
Olig1_Rassf10                  14757   -0.00576    -0.0168    0.00651      0.81187
OPC_Pdgfra                     14757   -0.00113   -0.00278    0.00815      0.55523
Outlier                        14757     0.0148     0.0229      0.012      0.10893
Slc17a6                        14757    0.00267    0.00846    0.00947      0.38894
