# MEAN_SAMPLE_SIZE = 350000
# TOTAL_GENES = 14958
# CONDITIONED_COVAR = Average
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, inverse_mac, log_inverse_mac
COVAR                      OBS_GENES       BETA   BETA_STD         SE            P
Astro                          14958    0.00756     0.0148     0.0065      0.12243
Endo                           14958   -0.00033  -0.000683    0.00581      0.52267
L2.3_ALM_Agmat                 14958   -0.00757    -0.0247    0.00984      0.77926
L2.3_ALM_Cbln4                 14958     -0.009    -0.0305    0.00849      0.85543
L2.3_ALM_Cdh13                 14958    -0.0128    -0.0426     0.0101      0.89793
L4_Sparcl1                     14958    0.00108    0.00352    0.00659      0.43503
L5_ALM_Aldh3b1_1               14958     0.0115     0.0378      0.012      0.16798
L5_ALM_Aldh3b1_2               14958    0.00374     0.0125     0.0111      0.36755
L5_ALM_Aldh3b1_3               14958   0.000361    0.00122     0.0104       0.4861
L5_ALM_Arhgap25_1              14958    0.00707     0.0233     0.0117      0.27278
L5_ALM_Arhgap25_2              14958   -0.00186   -0.00618     0.0108      0.56821
L5_ALM_Arhgap25_3              14958    0.00182    0.00595     0.0105       0.4312
L5_ALM_Hapln1                  14958   -0.00156   -0.00551    0.00541      0.61342
L5_ALM_Oprk1                   14958   -0.00304    -0.0101    0.00745      0.65837
L5_ALM_Pld5_1                  14958     0.0174     0.0555     0.0117     0.069338
L5_ALM_Pld5_2                  14958    0.00925     0.0306     0.0109      0.19735
L5_ALM_Slc17a8                 14958    0.00165    0.00563     0.0046      0.36013
L5_ALM_Trh                     14958  -0.000128  -0.000418    0.00645      0.50793
L5a_Batf3                      14958    0.00556     0.0192    0.00728      0.22235
L5a_Hsd11b1_low                14958     0.0109     0.0297     0.0067      0.05132
L6a_ALM_Foxp2                  14958   -0.00515    -0.0167     0.0107      0.68471
L6a_Col12a1_1                  14958  -0.000431   -0.00143    0.00707      0.52429
L6b_ALM_Trh                    14958   -0.00153   -0.00522     0.0068      0.58909
Lamp5_Nxph1_1                  14958   -0.00964     -0.031     0.0122      0.78549
Lamp5_Nxph1_2                  14958   -0.00136   -0.00429     0.0113      0.54772
Lamp5_Nxph1_3                  14958    -0.0038     -0.013    0.00773      0.68836
Lamp5_Nxph1_4                  14958   -0.00501    -0.0178    0.00512      0.83613
Lamp5_Rgs12_1                  14958    -0.0246    -0.0812    0.00939      0.99554
Lamp5_Rgs12_3                  14958   -0.00241   -0.00824    0.00781      0.62142
Meis2                          14958  -0.000246  -0.000629    0.00556      0.51768
Micro_1                        14958    0.00633     0.0206    0.00332     0.028289
Micro_2                        14958     0.0154     0.0309    0.00568    0.0034343
Oligo                          14958   -0.00404   -0.00972    0.00618      0.74364
OPC                            14958    0.00137    0.00327    0.00591      0.40857
Pax6                           14958    -0.0237    -0.0802    0.00814      0.99819
Pvalb_Cnr1_1                   14958    -0.0248    -0.0825     0.0102      0.99262
Pvalb_Cnr1_2                   14958    -0.0207    -0.0692     0.0107      0.97322
Pvalb_Cnr1_3                   14958    -0.0259    -0.0822     0.0129       0.9771
Pvalb_Il1rapl2_1               14958    -0.0228    -0.0747     0.0118      0.97282
Pvalb_Il1rapl2_2               14958    -0.0183    -0.0597     0.0111      0.94997
Pvalb_Th                       14958   -0.00826    -0.0266    0.00863      0.83062
Pvalb_Vipr2                    14958   -0.00601      -0.02    0.00888      0.75056
SMC                            14958    0.00635     0.0149    0.00528      0.11454
Sst_C1ql3                      14958    -0.0145     -0.047     0.0116      0.89464
Sst_Chodl                      14958    -0.0025   -0.00773     0.0109      0.59118
Sst_Crygs_1                    14958   -0.00911    -0.0295     0.0128      0.76205
Sst_Crygs_2                    14958    -0.0267    -0.0872     0.0121      0.98616
Sst_Crygs_3                    14958   -0.00366    -0.0118     0.0112      0.62797
Sst_Mrap2_1                    14958    -0.0119    -0.0387     0.0111      0.85747
Sst_Mrap2_2                    14958   -0.00159   -0.00503     0.0153      0.54141
Sst_Mrap2_3                    14958   -0.00824    -0.0258     0.0141      0.72044
Sst_Myh8_1                     14958   -0.00638    -0.0205     0.0119      0.70374
Sst_Myh8_2                     14958    -0.0179    -0.0559     0.0122       0.9286
Sst_Myh8_3                     14958    0.00107    0.00321     0.0129      0.46712
Sst_Myh8_4                     14958    -0.0105    -0.0315     0.0139      0.77453
Sst_Myh8_5                     14958    0.00694      0.021    0.00954      0.23332
Sst_Syndig1l_1                 14958    0.00345     0.0109    0.00877      0.34678
