# MEAN_SAMPLE_SIZE = 350000
# TOTAL_GENES = 14079
# CONDITIONED_COVAR = Average
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, inverse_mac, log_inverse_mac
COVAR                      OBS_GENES       BETA   BETA_STD         SE            P
GABA_Igtp                      14079   -0.00464    -0.0124     0.0114      0.65767
GABA_Ndnf                      14079   -0.00313     -0.008     0.0177      0.57023
GABA_Pvalb                     14079    -0.0141    -0.0391      0.013      0.86053
GABA_Smad3                     14079   -0.00341   -0.00926     0.0113       0.6187
GABA_Sncg                      14079   -0.00854    -0.0239     0.0114      0.77315
GABA_Sst                       14079    -0.0126     -0.034     0.0156      0.79098
GABA_Vip                       14079    0.00716     0.0171     0.0166      0.33319
Gluta_L2                       14079    0.00727     0.0197      0.013      0.28799
Gluta_L2_3                     14079   -0.00504    -0.0139     0.0139      0.64115
Gluta_L4                       14079     0.0173     0.0448     0.0147      0.11947
Gluta_L5                       14079     0.0204     0.0559      0.013     0.058526
Gluta_L5a                      14079  -1.61e-05  -4.46e-05     0.0164      0.50039
Gluta_L5b                      14079    -0.0129    -0.0372     0.0138      0.82549
Gluta_L6a                      14079    0.00652     0.0176     0.0169      0.34994
Gluta_L6b                      14079    0.00312    0.00897     0.0128      0.40361
NonNeu_Astro                   14079     0.0105     0.0187    0.00806     0.096834
NonNeu_Endo                    14079   -0.00409   -0.00701     0.0075      0.70691
NonNeu_Micro                   14079    0.00848      0.014    0.00738       0.1252
NonNeu_Oligo                   14079   -0.00912    -0.0178    0.00805      0.87136
NonNeu_OPC                     14079   -0.00546      -0.01    0.00907      0.72655
NonNeu_SMC                     14079     0.0016    0.00289    0.00861      0.42623
